[ 1.72443386]	72
[ 3.38693055]	91
[ 2.0637568]	64
[ 2.68085714]	75
[ 2.67079382]	81
[ 1.81136443]	70
[ 2.46604146]	84
[ 2.63839136]	68
[ 1.87389116]	70
[ 2.47477314]	92
[ 2.69692366]	72
[ 2.68411845]	85
[ 2.58098599]	68
[ 2.89062451]	71
[ 2.81041136]	85
[ 1.88082156]	65
[ 1.4475941]	96
[ 1.88452897]	83
[ 2.24386967]	95
[ 2.16436377]	76
[ 2.00065889]	84
[ 2.38087395]	85
[ 2.2566861]	70
[ 2.64939806]	66
[ 2.95282145]	77
[ 2.4796838]	83
[ 2.19696818]	62
[ 2.61687514]	62
[ 2.30331973]	55
[ 2.22161451]	45
[ 2.62337171]	67
[ 2.49429186]	62
[ 1.62534694]	25
[ 2.13714429]	38
[ 2.07060058]	70
[ 1.90149587]	93
[ 2.2295296]	87
[ 1.33935457]	82
[ 1.48242524]	94
[ 1.47823723]	71
[ 1.36277502]	83
[ 2.43565403]	105
[ 1.54244612]	95
[ 1.75287576]	76
[ 1.62735333]	98
[ 1.59667634]	83
[ 2.72328187]	92
[ 1.61767223]	88
[ 2.70171213]	101
[ 1.81062585]	100
[ 2.42627211]	105
[ 2.41599511]	89
[ 2.21653855]	96
[ 1.60001879]	63
[ 2.44450973]	71
[ 2.25225889]	71
[ 1.65165316]	69
[ 1.53492711]	70
[ 2.18783176]	82
[ 1.4684898]	46
[ 2.66261271]	58
[ 2.90004082]	40
[ 1.7937551]	25
[ 2.03935666]	14
[ 1.29621315]	12
[ 1.66196696]	14
[ 1.54683576]	35
[ 1.5212282]	55
[ 1.68988618]	82
[ 1.41125203]	82
[ 1.44144649]	82
[ 2.18107109]	91
[ 1.37798259]	93
[ 2.26660085]	123
[ 1.55404523]	111
[ 2.02710251]	117
[ 2.96459154]	115
[ 1.68799672]	83
[ 1.66959383]	109
[ 1.93846259]	124
[ 1.89876444]	118
[ 1.35165972]	93
[ 1.63080905]	101
[ 1.58881443]	86
[ 1.83001684]	84
[ 2.17857208]	84
[ 1.87404008]	74
[ 1.4212266]	71
[ 1.79065076]	59
[ 1.72263428]	71
[ 1.48289616]	53
[ 1.52901569]	49
[ 1.19284196]	43
[ 1.34531066]	24
[ 1.27064626]	16
[ 1.2598786]	13
[ 1.82189504]	14
[ 2.26304308]	15
[ 1.71135574]	34
[ 1.66096652]	51
[ 1.86310247]	63
[ 2.0776644]	60
[ 2.03294401]	104
[ 1.56540539]	108
[ 1.41121344]	133
[ 1.40067915]	109
[ 1.97749544]	129
[ 1.26933913]	122
[ 1.75681914]	116
[ 1.60300973]	93
[ 2.11622515]	133
[ 1.302187]	94
[ 2.58095599]	113
[ 1.50085688]	102
[ 1.54493157]	85
[ 1.12722272]	77
[ 2.45865795]	78
[ 2.34166181]	70
[ 1.93251916]	95
[ 2.47894001]	44
[ 1.36586735]	64
[ 1.35646466]	59
[ 1.47585808]	51
[ 2.42609178]	63
[ 1.25921088]	40
[ 1.53842177]	25
[ 1.50379468]	11
[ 1.86650711]	11
[ 0.88389872]	9
[ 3.31048352]	26
[ 1.24117007]	25
[ 2.44888622]	51
[ 2.34423324]	56
[ 1.62906257]	71
[ 3.05663139]	108
[ 2.52991962]	119
[ 3.3293019]	174
[ 3.17028571]	125
[ 2.97443537]	125
[ 2.62496238]	98
[ 2.29870855]	102
[ 4.15595465]	156
[ 2.85535733]	93
[ 3.01666827]	102
[ 2.5882107]	74
[ 2.46585965]	76
[ 2.31867656]	66
[ 2.597335]	98
[ 3.13575457]	77
[ 1.92433656]	76
[ 2.30751341]	89
[ 2.863764]	81
[ 1.30530983]	44
[ 2.37090268]	49
[ 2.61121477]	56
[ 2.61767463]	47
[ 3.90934323]	77
[ 3.15434233]	31
[ 3.91876493]	18
[ 1.88203628]	12
[ 4.32131633]	32
[ 3.76913157]	41
[ 3.74534032]	37
[ 3.52504413]	39
[ 4.26073141]	116
[ 3.8838532]	76
[ 4.16341025]	179
[ 2.15778902]	69
[ 3.43599642]	95
[ 4.05989432]	159
[ 2.93589546]	79
[ 2.12310392]	58
[ 4.0822449]	125
[ 3.76473641]	87
[ 4.03417085]	113
[ 1.86626253]	54
[ 4.17166138]	108
[ 2.34022472]	29
[ 2.57330486]	43
[ 2.6516791]	29
[ 4.07584556]	91
[ 3.7647619]	72
[ 4.22296641]	127
[ 2.23842177]	28
[ 4.11622363]	103
[ 4.13676556]	67
[ 2.43437217]	31
[ 3.07042316]	39
[ 3.6077415]	88
[ 1.76757319]	27
[ 3.50387755]	27
[ 4.26121995]	30
[ 1.56190955]	71
[ 2.70728602]	67
[ 2.61750986]	78
[ 2.28606707]	57
[ 2.54320408]	80
[ 2.33785941]	90
[ 2.68225286]	82
[ 2.61542502]	92
[ 2.93143555]	78
[ 2.21620779]	77
[ 1.93513521]	89
